,datetime,température,vent,pt_de_rosee,pression
55121,2023-10-18 17:10:00,18.2,13.0,16.7,991.6
55122,2023-10-18 17:00:00,18.2,18.0,16.7,991.5
55123,2023-10-18 16:50:00,18.2,18.0,16.7,991.5
55124,2023-10-18 16:40:00,18.1,16.0,16.7,991.4
55125,2023-10-18 16:30:00,18.0,18.0,16.7,991.4
55126,2023-10-18 16:20:00,17.9,16.0,16.7,991.5
55127,2023-10-18 16:10:00,17.8,16.0,16.7,991.3
55128,2023-10-18 16:00:00,17.6,16.0,16.7,991.4
55129,2023-10-18 15:50:00,17.6,19.0,16.7,991.4
55130,2023-10-18 15:40:00,17.4,23.0,16.1,991.2
55131,2023-10-18 15:30:00,17.4,23.0,16.1,991.4
55132,2023-10-18 15:20:00,17.3,19.0,16.1,991.6
55133,2023-10-18 15:00:00,17.2,18.0,16.1,991.9
55134,2023-10-18 14:30:00,16.8,24.0,15.6,992.1
55135,2023-10-18 14:00:00,16.4,27.0,15.0,992.5
55136,2023-10-18 13:30:00,16.1,19.0,14.4,993.0
55137,2023-10-18 13:00:00,16.3,24.0,13.9,993.9
55138,2023-10-18 12:30:00,16.2,16.0,13.3,994.5
55139,2023-10-18 12:00:00,16.3,15.0,12.8,995.0
55140,2023-10-18 11:30:00,16.4,16.0,12.2,995.8
55141,2023-10-18 11:00:00,16.4,15.0,12.2,996.2
55142,2023-10-18 10:30:00,15.9,11.0,11.7,996.6
55143,2023-10-18 10:00:00,15.3,13.0,11.1,997.0
55144,2023-10-18 09:30:00,15.1,18.0,11.1,997.4
55145,2023-10-18 09:00:00,14.3,16.0,10.0,997.6
55146,2023-10-18 08:30:00,13.7,11.0,9.4,998.0
55147,2023-10-18 08:00:00,12.7,11.0,8.9,998.3
55148,2023-10-18 07:30:00,11.8,11.0,8.9,998.7
55149,2023-10-18 07:00:00,11.5,10.0,8.9,999.0
55150,2023-10-18 06:30:00,11.2,6.0,8.9,999.5
55151,2023-10-18 06:00:00,11.1,8.0,8.3,999.4
55152,2023-10-18 05:30:00,11.1,11.0,8.3,999.4
55153,2023-10-18 05:00:00,11.2,11.0,7.8,999.8
55154,2023-10-18 04:30:00,11.4,10.0,7.8,1000.5
55155,2023-10-18 04:00:00,11.3,3.0,7.2,1001.0
55156,2023-10-18 03:30:00,11.2,10.0,7.2,1000.8
55157,2023-10-18 03:00:00,11.2,11.0,7.2,1001.1
55158,2023-10-18 02:30:00,11.2,11.0,7.2,1001.7
55159,2023-10-18 02:00:00,11.3,8.0,7.2,1002.3
55160,2023-10-18 01:30:00,11.4,11.0,7.2,1002.7
55161,2023-10-18 01:00:00,11.5,8.0,7.8,1003.2
55162,2023-10-18 00:30:00,11.6,10.0,7.8,1003.6
55163,2023-10-18 00:00:00,11.8,11.0,7.8,1003.8
55164,2023-10-17 23:30:00,12.0,10.0,7.8,1004.3
55165,2023-10-17 23:00:00,12.3,10.0,7.8,1004.6
55166,2023-10-17 22:30:00,12.4,10.0,7.8,1005.1
55167,2023-10-17 21:30:00,12.7,10.0,7.8,1005.7
55168,2023-10-17 21:00:00,12.8,11.0,7.8,1006.0
55169,2023-10-17 20:30:00,12.9,11.0,7.8,1006.2
55170,2023-10-17 20:00:00,13.1,8.0,8.3,1006.8
55171,2023-10-17 19:30:00,13.3,11.0,8.3,1006.9
55172,2023-10-17 19:00:00,13.6,13.0,8.3,1006.9
55173,2023-10-17 18:30:00,13.8,11.0,8.3,1007.5
55174,2023-10-17 18:00:00,14.3,8.0,8.3,1007.7
51222,2023-10-16 12:30:00,11.8,15.0,2.2,1016.0
51223,2023-10-16 12:20:00,11.6,13.0,2.8,1016.0
51224,2023-10-16 12:10:00,11.3,19.0,2.2,1016.2
51225,2023-10-16 12:00:00,11.1,15.0,3.3,1016.4
51226,2023-10-16 11:50:00,10.8,15.0,2.8,1016.6
51227,2023-10-16 11:40:00,10.8,11.0,2.8,1016.8
51228,2023-10-16 11:30:00,10.6,13.0,2.8,1017.1
51229,2023-10-16 11:20:00,10.4,15.0,3.3,1017.3
51230,2023-10-16 11:10:00,10.1,15.0,2.8,1017.6
51231,2023-10-16 11:00:00,9.8,11.0,3.3,1017.7
51232,2023-10-16 10:50:00,9.6,15.0,2.8,1017.5
51233,2023-10-16 10:40:00,9.2,13.0,3.3,1017.6
51234,2023-10-16 10:30:00,9.2,13.0,3.3,1017.8
51235,2023-10-16 10:00:00,8.4,10.0,2.8,1018.2
51236,2023-10-16 09:30:00,7.7,10.0,2.8,1018.6
51237,2023-10-16 09:00:00,7.6,10.0,2.8,1018.6
51238,2023-10-16 08:30:00,7.2,11.0,2.2,1019.0
51239,2023-10-16 08:00:00,6.9,8.0,2.2,1019.2
51240,2023-10-16 07:30:00,6.7,13.0,2.2,1019.0
51241,2023-10-16 07:00:00,6.6,13.0,2.2,1019.1
51242,2023-10-16 06:30:00,6.4,11.0,2.2,1019.2
51243,2023-10-16 06:00:00,6.6,15.0,2.2,1019.3
51244,2023-10-16 05:30:00,6.6,18.0,2.2,1018.9
51245,2023-10-16 05:00:00,6.6,16.0,2.2,1019.2
51246,2023-10-16 04:30:00,6.7,16.0,2.2,1019.6
51247,2023-10-16 04:00:00,6.9,16.0,2.2,1019.5
51248,2023-10-16 03:30:00,7.2,15.0,2.2,1019.7
51249,2023-10-16 03:00:00,7.3,15.0,1.7,1019.8
51250,2023-10-16 02:30:00,7.4,16.0,2.2,1019.8
51251,2023-10-16 02:00:00,7.6,13.0,2.2,1020.2
51252,2023-10-16 01:30:00,7.7,11.0,1.7,1020.7
51253,2023-10-16 01:00:00,7.9,13.0,1.7,1020.8
51254,2023-10-16 00:30:00,8.1,11.0,1.1,1021.1
51255,2023-10-16 00:00:00,8.1,11.0,0.6,1021.3
51278,2023-10-15 23:50:00,8.2,8.0,0.6,1021.4
51279,2023-10-15 23:40:00,8.2,8.0,0.6,1021.5
51256,2023-10-15 23:30:00,8.3,8.0,0.6,1021.6
51280,2023-10-15 23:20:00,8.3,10.0,0.6,1021.7
51281,2023-10-15 23:10:00,8.4,10.0,0.6,1021.7
51257,2023-10-15 23:00:00,8.5,11.0,0.6,1021.9
51282,2023-10-15 22:50:00,8.7,13.0,0.0,1021.9
51283,2023-10-15 22:40:00,8.8,10.0,0.0,1022.0
51258,2023-10-15 22:30:00,8.8,11.0,0.0,1021.9
