,id,datetime,température,vent,rafales,vent_direction,humidite,pt_de_rosee,pression,bio_meteo,radiation_solaire
55121,55122,2023-10-18 17:10:00,18.2,13.0,25.7,269.0,91.0,16.7,991.6,,
55122,55123,2023-10-18 17:00:00,18.2,18.0,,,91.0,16.7,991.5,,
55123,55124,2023-10-18 16:50:00,18.2,18.0,,,92.0,16.7,991.5,,
55124,55125,2023-10-18 16:40:00,18.1,16.0,,,92.0,16.7,991.4,,
55125,55126,2023-10-18 16:30:00,18.0,18.0,,,93.0,16.7,991.4,,
55126,55127,2023-10-18 16:20:00,17.9,16.0,,,93.0,16.7,991.5,,
55127,55128,2023-10-18 16:10:00,17.8,16.0,,,93.0,16.7,991.3,,
55128,55129,2023-10-18 16:00:00,17.6,16.0,,,93.0,16.7,991.4,,
55129,55130,2023-10-18 15:50:00,17.6,19.0,,,93.0,16.7,991.4,,
55130,55131,2023-10-18 15:40:00,17.4,23.0,,,93.0,16.1,991.2,,
55131,55132,2023-10-18 15:30:00,17.4,23.0,,,93.0,16.1,991.4,,
55132,55133,2023-10-18 15:20:00,17.3,19.0,,,93.0,16.1,991.6,,
55133,55134,2023-10-18 15:00:00,17.2,18.0,,,93.0,16.1,991.9,,
55134,55135,2023-10-18 14:30:00,16.8,24.0,,,93.0,15.6,992.1,,
55135,55136,2023-10-18 14:00:00,16.4,27.0,,,92.0,15.0,992.5,,
55136,55137,2023-10-18 13:30:00,16.1,19.0,,,90.0,14.4,993.0,,
55137,55138,2023-10-18 13:00:00,16.3,24.0,,,84.0,13.9,993.9,,
55138,55139,2023-10-18 12:30:00,16.2,16.0,27.4,144.0,83.0,13.3,994.5,,
55139,55140,2023-10-18 12:00:00,16.3,15.0,22.5,146.0,81.0,12.8,995.0,,
55140,55141,2023-10-18 11:30:00,16.4,16.0,24.1,150.0,77.0,12.2,995.8,,
55141,55142,2023-10-18 11:00:00,16.4,15.0,27.4,333.0,75.0,12.2,996.2,,
55142,55143,2023-10-18 10:30:00,15.9,11.0,25.7,123.0,76.0,11.7,996.6,,
55143,55144,2023-10-18 10:00:00,15.3,13.0,29.0,123.0,75.0,11.1,997.0,,
55144,55145,2023-10-18 09:30:00,15.1,18.0,29.0,127.0,76.0,11.1,997.4,,
55145,55146,2023-10-18 09:00:00,14.3,16.0,29.0,129.0,76.0,10.0,997.6,,
55146,55147,2023-10-18 08:30:00,13.7,11.0,24.1,136.0,77.0,9.4,998.0,,
55147,55148,2023-10-18 08:00:00,12.7,11.0,22.5,111.0,79.0,8.9,998.3,,
55148,55149,2023-10-18 07:30:00,11.8,11.0,22.5,108.0,82.0,8.9,998.7,,
55149,55150,2023-10-18 07:00:00,11.5,10.0,20.9,30.0,83.0,8.9,999.0,,
55150,55151,2023-10-18 06:30:00,11.2,6.0,14.5,119.0,84.0,8.9,999.5,,
55151,55152,2023-10-18 06:00:00,11.1,8.0,17.7,82.0,84.0,8.3,999.4,,
55152,55153,2023-10-18 05:30:00,11.1,11.0,25.7,49.0,83.0,8.3,999.4,,
55153,55154,2023-10-18 05:00:00,11.2,11.0,22.5,92.0,81.0,7.8,999.8,,
55154,55155,2023-10-18 04:30:00,11.4,10.0,22.5,203.0,78.0,7.8,1000.5,,
55155,55156,2023-10-18 04:00:00,11.3,3.0,12.9,69.0,77.0,7.2,1001.0,,
55156,55157,2023-10-18 03:30:00,11.2,10.0,22.5,86.0,77.0,7.2,1000.8,,
55157,55158,2023-10-18 03:00:00,11.2,11.0,19.3,104.0,77.0,7.2,1001.1,,
55158,55159,2023-10-18 02:30:00,11.2,11.0,22.5,41.0,77.0,7.2,1001.7,,
55159,55160,2023-10-18 02:00:00,11.3,8.0,17.7,117.0,77.0,7.2,1002.3,,
55160,55161,2023-10-18 01:30:00,11.4,11.0,22.5,74.0,76.0,7.2,1002.7,,
55161,55162,2023-10-18 01:00:00,11.5,8.0,19.3,71.0,77.0,7.8,1003.2,,
